question_id,domain,question,options_json,answer,explanation,concept
11,ingestion,Auto Loader を既定の schemaEvolutionMode（addNewColumns）で運用中、ソースに新しい列が現れた。既定の挙動として正しいものはどれか。,"[""ストリームが一旦失敗してスキーマ情報が更新され、再起動すると新列を含めて処理を続行する"",""新列は静かに無視され、二度と取り込まれない"",""既存データが全削除される"",""新列は自動的に破棄（drop）される"",""テーブル全体が文字列型に変換される""]",0,addNewColumns では新列検知時にストリームが一旦失敗し、schemaLocation のスキーマが更新される。再起動すると新列を含めて処理を続行する。新列の無視やデータ削除は起きない。,cloudFiles.schemaEvolutionMode の既定は addNewColumns。新列を検知するとストリームを一度失敗させ、schemaLocation のスキーマを更新する。ジョブの自動リトライ／再起動で新列を含めて継続する。想定外の列を捕捉したい場合は rescuedDataColumn（_rescued_data）に退避させる設定もある。他のモード（none/rescue 等）では挙動が変わる。
12,ingestion,取り込み時にスキーマ推論され、data は STRUCT 型（data.address.city のようにネスト）になった。ネストの city を参照する正しい式はどれか。,"[""data.address.city"",""data:address:city"",""get_json_object(data, '$.address.city')"",""explode(data).city"",""from_json(data).address.city""]",0,STRUCT 型のネストは dot 記法 data.address.city で参照する。コロン記法 data:... や get_json_object / from_json は JSON文字列（STRING）に対する構文。explode は配列展開用でネスト参照ではない。,ネスト参照の使い分け：STRUCT 型（すでに構造化済み）は dot 記法 col.field.subfield。STRING 型に入った生JSONは コロン記法 col:field.subfield や get_json_object / from_json でパースして参照する。explode は配列（ARRAY）を行に展開する関数で、ネスト構造体の参照とは用途が異なる。
13,ingestion,取り込み方式の選択として最も不適切なものはどれか（誤っているものを選ぶ）。,"[""クラウドストレージへ継続到着する大量ファイル → Auto Loader"",""SaaS（Salesforce 等）からの取り込み → Lakeflow Connect マネージドコネクタ"",""少量ファイルの定期ロード → COPY INTO"",""本番DBのCDC → Auto Loader でDBのログファイルを自作パースして取り込む"",""ネストJSONの取り込み → スキーマ推論して Delta へ格納""]",3,本番DBのCDCは Lakeflow Connect のDBコネクタを使うのが適切で、ログを自作パースするのは不適切・高コスト。他は妥当な選択。,取り込み方式はデータ量・頻度・ソース種別・ガバナンス要件で選ぶ。ストレージ上のファイル→Auto Loader/COPY INTO、SaaS/DB→Lakeflow Connect、というのが基本。DBのCDCをログ自作パースで賄うのは信頼性・保守性・コストの面で不適切で、専用のマネージドコネクタを使うべき。
14,transformation,raw_table の配列カラム items を1要素につき1行へ展開（アンネスト）し、cart_id と item_id を持つ新テーブルを作りたい。正しいコマンドはどれか。,"[""SELECT cart_id, filter(items) AS item_id FROM raw_table;"",""SELECT cart_id, flatten(items) AS item_id FROM raw_table;"",""SELECT cart_id, reduce(items) AS item_id FROM raw_table;"",""SELECT cart_id, explode(items) AS item_id FROM raw_table;"",""SELECT cart_id, slice(items) AS item_id FROM raw_table;""]",3,explode() は配列を1要素1行へ展開する。filter は条件抽出、flatten は「配列の配列」を1段平坦化、reduce は畳み込み、slice は部分配列取得で、いずれも行への展開ではない。,配列関連関数：explode（配列→複数行に展開／NULLや空は行を生成しない）、posexplode（位置付きで展開）、flatten（配列の配列を1段の配列に平坦化＝行は増やさない）、slice（部分配列）、filter/transform/reduce（高階関数で配列内を加工）。「行に増やす」のは explode 系だけ。
15,transformation,"指定スキーマ（id STRING, ts DATE, rating FLOAT）の空のDeltaテーブルを、同名テーブルの有無にかかわらず作成（あれば置き換え）したい。正しいDDLはどれか。","[""CREATE OR REPLACE TABLE t (id STRING, ts DATE, rating FLOAT)"",""CREATE TABLE IF NOT EXISTS t (id STRING, ts DATE, rating FLOAT)"",""CREATE TABLE t AS SELECT id STRING, ts DATE, rating FLOAT"",""CREATE OR REPLACE TABLE t WITH COLUMNS (id STRING, ts DATE, rating FLOAT) USING DELTA"",""REPLACE TABLE t (id STRING, ts DATE, rating FLOAT)""]",0,「有無にかかわらず作成（置き換え）」は CREATE OR REPLACE TABLE で、列は括弧内に『列名 型』を列挙する。IF NOT EXISTS は既存時に作成しない、AS SELECT は空テーブルにならない、WITH COLUMNS 構文や REPLACE TABLE 単独は誤り。,"テーブル作成DDLの使い分け：CREATE OR REPLACE TABLE（あれば置換・なければ作成／常に定義どおりにリセット）、CREATE TABLE IF NOT EXISTS（既存なら何もしない）、CREATE TABLE ... AS SELECT（CTAS＝クエリ結果でデータ入りテーブルを作成）。列定義は「(列名 型, ...)」の形式。WITH COLUMNS や REPLACE TABLE 単独は無効。"
16,transformation,"新しい1レコード (id='a1', rank=6, rating=9.4) を既存Deltaテーブル my_table に追記する、正しいSQLはどれか。","[""UPDATE VALUES ('a1', 6, 9.4) my_table"",""UPDATE my_table VALUES ('a1', 6, 9.4)"",""INSERT VALUES ('a1', 6, 9.4) INTO my_table"",""INSERT INTO my_table VALUES ('a1', 6, 9.4)"",""APPEND INTO my_table VALUES ('a1', 6, 9.4)""]",3,追記は INSERT INTO <table> VALUES (...)。UPDATE は既存行の更新、INSERT の語順違いや APPEND INTO は無効な構文。,DML の基本：INSERT INTO（追記）、INSERT OVERWRITE（上書き）、UPDATE（既存行の更新）、DELETE（削除）、MERGE INTO（upsert）。追記の正しい語順は INSERT INTO <table> VALUES (...)。APPEND INTO のような構文は存在しない。
17,transformation,ソース src を key で突合し、一致すれば更新・無ければ挿入（upsert）したい。正しい構文の骨子はどれか。,"[""MERGE INTO tgt USING src ON tgt.id = src.id WHEN MATCHED THEN UPDATE SET * WHEN NOT MATCHED THEN INSERT *"",""UPSERT INTO tgt USING src ON tgt.id = src.id"",""INSERT OR UPDATE INTO tgt FROM src ON id"",""MERGE tgt WITH src WHERE tgt.id = src.id"",""REPLACE INTO tgt USING src ON tgt.id = src.id""]",0,upsert は MERGE INTO ... USING ... ON ... WHEN MATCHED THEN UPDATE ... WHEN NOT MATCHED THEN INSERT ... の構文。UPSERT / INSERT OR UPDATE / REPLACE INTO のような構文は存在しない。,MERGE INTO は upsert（更新＋挿入）や SCD（緩やかに変化する次元）を実装する中心構文。MERGE INTO tgt USING src ON <条件> の後に WHEN MATCHED THEN UPDATE/DELETE、WHEN NOT MATCHED THEN INSERT を並べる。UPSERT や INSERT OR UPDATE といった単語は Databricks SQL には無い。
18,transformation,Lakeflow Declarative Pipelines で、追記のみの生データを増分取り込みする Bronze と、複数テーブルを結合・集計して都度最新化する Gold を作る。適切なオブジェクトの組み合わせはどれか。,"[""Bronze=マテリアライズドビュー、Gold=ストリーミングテーブル"",""Bronze=ストリーミングテーブル、Gold=マテリアライズドビュー"",""両方ともストリーミングテーブル"",""両方ともマテリアライズドビュー"",""Bronze=通常ビュー、Gold=ストリーミングテーブル""]",1,追記の増分取り込みはストリーミングテーブル、結合・集計して最新結果を保持するのはマテリアライズドビューが適切。集計結果をストリーミングテーブルにするのは一般に不向き。,Gold層オブジェクトの違い：ストリーミングテーブル＝追記データを増分処理して蓄積（Structured Streaming ベース、取り込み・追記中心）。マテリアライズドビュー＝クエリ（結合・集計）の結果を事前計算して保持し、増分リフレッシュで最新化（BI高速化）。通常ビュー＝毎回再計算で結果を保持しない。
19,transformation,Lakeflow Declarative Pipelines で、ts が NULL の行を破棄しつつパイプラインは継続させたい。正しい期待値（expectation）の定義はどれか。,"[""CONSTRAINT valid_ts EXPECT (ts IS NOT NULL) ON VIOLATION DROP ROW"",""CONSTRAINT valid_ts CHECK (ts IS NOT NULL) ON FAIL DROP"",""EXPECT valid_ts WHERE ts IS NOT NULL DROP"",""CONSTRAINT valid_ts EXPECT (ts IS NOT NULL) ON VIOLATION FAIL UPDATE"",""ASSERT ts IS NOT NULL ON VIOLATION DROP ROW""]",0,期待値は CONSTRAINT <名> EXPECT (<条件>) [ON VIOLATION DROP ROW | FAIL UPDATE]。DROP ROW は違反行を破棄して継続、FAIL UPDATE はパイプラインを失敗させる。CHECK / ASSERT / WHERE 構文は誤り。,期待値（expectation）はパイプラインのデータ品質ルール。構文は CONSTRAINT <名> EXPECT (<条件>) [ON VIOLATION <アクション>]。ON VIOLATION の選択肢は、既定（違反を記録するが行は保持）／DROP ROW（違反行を破棄して継続）／FAIL UPDATE（違反があればパイプラインを失敗させる）。SQL の CHECK 制約や ASSERT とは別物。
20,transformation,大テーブルと約200MBの中テーブルの結合が遅く、Spark UI で大量シャッフルが見える。中テーブルは既定の autoBroadcastJoinThreshold（10MB）を超えるためブロードキャストされない。手動でブロードキャスト結合にする方法はどれか。,"[""broadcast(mid_df) を使う（from pyspark.sql.functions import broadcast）"",""spark.sql.shuffle.partitions を 1 にする"",""mid_df.cache() すれば自動的にブロードキャストされる"",""mid_df.repartition(1) すればブロードキャストになる"",""mid_df.persist(StorageLevel.DISK_ONLY) を指定する""]",0,閾値を超える表を明示的にブロードキャストするには broadcast() ヒントを使う（または autoBroadcastJoinThreshold を引き上げる）。cache / persist / repartition はブロードキャストを発生させず、shuffle.partitions=1 はむしろ危険。,ブロードキャスト結合は、小さい表を全 executor に配布して大きい表のシャッフルを回避する結合方式。spark.sql.autoBroadcastJoinThreshold（既定10MB）以下は自動適用され、超える場合は broadcast(df) ヒントで明示できる。cache/persist は再計算の回避、repartition はパーティション数変更で、いずれもブロードキャスト化はしない。
21,transformation,全列が完全に重複する行を1件に集約したい。正しいものはどれか。,"[""df.dropDuplicates()"",""df.distinct()"",""df.drop('duplicates')"",""df.groupBy().count()"",""A も B も正しい（全列対象なら等価）""]",4,全列対象なら df.dropDuplicates()（引数なし）と df.distinct() は等価に重複を除去する。drop('duplicates') は列削除、groupBy().count() は件数集計で重複除去ではない。,"重複除去：distinct() は全列一致の重複を除去。dropDuplicates() は引数なしなら distinct() と等価、dropDuplicates(['col1','col2']) のように部分列を指定すると、その列の組み合わせで重複を除去できる（部分列指定は distinct では不可）。drop() は列の削除、groupBy().count() は集計で用途が別。"
22,transformation,左テーブルの全行を残し、右テーブルに一致が無い行は右側の列を NULL で埋めたい。適切な結合はどれか。,"[""inner join"",""left (outer) join"",""right (outer) join"",""left semi join"",""left anti join""]",1,左を全件残し右不一致をNULLにするのは left outer join。inner は一致のみ、right は右基準、left semi は左のうち一致する行のみ（右列は返さない）、left anti は左のうち一致しない行のみ。,結合の種類：inner（両方一致のみ）、left outer（左を全件・右不一致はNULL）、right outer（右を全件）、full outer（両方全件）、left semi（左のうち右に一致がある行だけ・右の列は返さない）、left anti（左のうち右に一致が無い行だけ）、cross（直積）。
23,jobs,下流タスク finalize を、上流タスクが『1つも失敗していない（スキップは許容）』場合に実行したい。依存条件（run if）に設定すべき値はどれか。,"[""ALL_SUCCESS"",""ALL_DONE"",""NONE_FAILED"",""AT_LEAST_ONE_SUCCESS"",""AT_LEAST_ONE_FAILED""]",2,NONE_FAILED は依存が全て完了し失敗が1つも無ければ実行（スキップは許容）。ALL_SUCCESS は成功のみ（スキップも不可）、ALL_DONE は成否問わず、AT_LEAST_ONE_SUCCESS/FAILED は別条件。,Lakeflow Jobs の「run if（依存条件）」一覧：ALL_SUCCESS（全依存が成功・既定）、ALL_DONE（成否問わず全て完了）、NONE_FAILED（失敗が1つも無い＝スキップは許容）、AT_LEAST_ONE_SUCCESS（1つ以上成功）、AT_LEAST_ONE_FAILED（1つ以上失敗）。分岐や後処理の実行条件を細かく制御できる。
24,jobs,上流タスクの成否に関わらず、必ず実行したい通知タスクがある。依存条件（run if）に設定すべき値はどれか。,"[""ALL_SUCCESS"",""ALL_DONE"",""NONE_FAILED"",""AT_LEAST_ONE_SUCCESS"",""AT_LEAST_ONE_FAILED""]",1,成否を問わず必ず実行は ALL_DONE。ALL_SUCCESS/NONE_FAILED は失敗時に実行されず、AT_LEAST_ONE_* は特定条件のみ。,ALL_DONE は上流タスクが成功・失敗・スキップのいずれで終わっても、全て「完了」しさえすれば下流を実行する。クリーンアップ、通知、後片付けなど「必ず走らせたい」タスクに使う。ALL_SUCCESS（既定）だと上流が1つでも失敗すると下流はスキップされる点と対比して覚える。
25,jobs,上流の Delta テーブルが更新されたタイミングでジョブを起動したい（cron の空振りは避けたい）。Lakeflow Jobs のトリガー種別はどれか。,"[""スケジュール（cron）トリガー"",""ファイル到着（file arrival）トリガー"",""テーブル更新（table update）トリガー"",""連続（continuous）トリガー"",""Webhook トリガー""]",2,Lakeflow Jobs のトリガーは scheduled / file arrival / table update。テーブル更新起動には table update トリガーを使う。continuous は常時稼働、file arrival はファイル用。,Lakeflow Jobs のトリガー種別：scheduled（時刻/cron の時間ベース）、file arrival（指定ロケーションへのファイル到着）、table update（指定テーブルの更新）。file arrival と table update は「データ駆動トリガー」で、データが揃った時だけ起動でき、cron の空振りや遅延を避けられる。continuous は常時稼働のストリーミング実行モード。
26,jobs,10タスクのジョブが7番目のタスクで失敗した。原因を修正した後、成功済みの1〜6を再実行せず、7番目以降だけを流し直したい。最適な操作はどれか。,"[""ジョブ全体を最初から再実行する"",""Repair run（修復実行）で失敗・未実行タスクのみ再実行する"",""ジョブを削除して新規に作り直す"",""クラスターを再起動する"",""各タスクを手動でノートブックから順に実行する""]",1,Repair run は失敗/未実行タスクだけを再実行し、成功済みタスクをスキップできる。全体再実行や作り直しは無駄が多い。,Repair run（修復実行）は、失敗した実行に対して失敗・未実行のタスクだけを再実行し、既に成功したタスクの結果を再利用する機能。時間とコストを節約でき、非冪等な処理の二重実行も避けられる。マルチタスクジョブのDAG（依存グラフ）が前提。
27,jobs,あるタスクで計算した値を、同一ジョブの後続タスクへ渡したい。Lakeflow Jobs の正しい仕組みはどれか。,"[""dbutils.jobs.taskValues.set() / get()（タスク値）を使う"",""Python のグローバル変数に代入して参照する"",""ドライバのローカルファイルに書いて後続で読む"",""print してログから値を拾う"",""タスク間で値は一切共有できない""]",0,タスク間の値受け渡しは dbutils.jobs.taskValues.set()/get()（タスク値）で行う。グローバル変数やローカルファイルは別タスク（別実行環境）に共有されない。,"タスク値（task values）は dbutils.jobs.taskValues.set(key, value) で保存し、後続タスクで dbutils.jobs.taskValues.get(taskKey, key) で取得する、タスク間の値受け渡し機構。各タスクは別のプロセス/クラスタで動くため、Python のグローバル変数やドライバのローカルファイルは共有されない。ジョブパラメータは実行時の入力値で用途が別。"
28,jobs,外部連携が『毎日おおよそ2〜5時の不定時刻』に1ファイルを配置する。処理を確実かつ無駄なく起動するには、どのトリガーが最適か。,"[""03:00 の cron で固定起動"",""05:00 の cron で固定起動"",""1分ごとの cron でポーリングし続ける"",""ファイル到着（file arrival）トリガー"",""continuous トリガーで常時稼働させる""]",3,到着時刻が不定なので、ファイル到着トリガーが最も確実かつ無駄がない。固定cronは早すぎると未到着、遅すぎると遅延。1分ポーリングやcontinuousはコストが増える。,トリガー選択の指針：到着時刻が固定なら時間ベース（cron）、不定ならデータ駆動（ファイル到着/テーブル更新）が適切。データ駆動トリガーは「データが揃った時だけ」起動するため、空振り実行や到着遅延によるSLA違反を避けられる。高頻度ポーリングや常時稼働はコスト増になりやすい。
29,cicd,CI で、バンドル構成の検証 → dev への配置 → ジョブ実行、の順に自動化したい。正しい Databricks CLI コマンドの順序はどれか。,"[""databricks bundle deploy → validate → run"",""databricks bundle validate → deploy → run"",""databricks bundle run → deploy → validate"",""databricks bundle test → deploy"",""git push → databricks bundle run""]",1,validate（検証）→ deploy（配置）→ run（実行）の順。順序違いや test/push だけでは配置・実行は成立しない。,Databricks CLI のバンドル系サブコマンド：validate（databricks.yml の構文・構成を検証）、deploy（リソースを対象ターゲットへ配置）、run（配置済みジョブ/パイプラインを実行）、destroy（配置を削除）。CI/CD では validate → deploy →（必要なら）run の流れが定石。
30,cicd,databricks.yml で、dev は小さいクラスタと dev カタログ、prod は大きいクラスタと prod カタログを使いたい。単一コードベースで実現する正しい方法はどれか。,"[""targets 配下に dev/prod を定義し、各ターゲットで variables やリソースの overrides を指定する"",""環境ごとに別の databricks.yml をコピーして手で保守する"",""prod の値をハードコードし dev でも同じ値を使う"",""ノートブック内で if env=='prod' を大量に分岐させる"",""変数機能は使わずコメントで区別する""]",0,バンドルの targets（dev/prod 等）ごとに変数・オーバーライドを定義し、同一コードで環境差を吸収する。コピー保守やハードコードは再現性を損なう。,Automation Bundle の targets は dev/test/prod などの環境を表し、各ターゲットで variables（変数）や resources の overrides（上書き）を定義して環境差（カタログ名、クラスタサイズ、スケジュール等）を吸収する。1つのコードベースを各環境へ再現可能に昇格（promote）できるのがバンドルの要。
31,cicd,Automation Bundle（旧 Databricks Asset Bundles）が、従来の手動デプロイ（UI操作/手動エクスポート）に対して持つ利点として、誤っているものはどれか。,"[""ジョブ・パイプライン等をコードとして版管理できる"",""dev/test/prod へ再現可能に昇格できる"",""CLI から CI で自動デプロイできる"",""デプロイのたびに手作業での微調整が必要になる"",""環境差を変数・オーバーライドで吸収できる""]",3,バンドルの利点はコード化・再現性・自動化・環境差の吸収。『毎回手作業で微調整が必要』は利点ではなく、むしろ従来手法の欠点。,Automation Bundle（旧 Databricks Asset Bundles / DAB）は、ジョブ・パイプライン・ノートブック等の定義を YAML（databricks.yml）でコード化する IaC の仕組み。利点は「版管理できる／CIから自動デプロイできる／dev-test-prod へ再現可能に昇格できる／環境差を変数で吸収できる」。手作業の微調整が要るのは従来の手動デプロイの欠点。
32,cicd,Databricks Repos（Git 統合）に関する説明として、誤っているものはどれか。,"[""ブランチの作成・切替ができる"",""コミット・プッシュができる"",""Gitプロバイダ上でプルリクエストを作成できる"",""ワークスペースUIから変更を管理できる"",""外部Gitと同期せず、Databricks 独自のGit履歴だけで完全独立運用する""]",4,Repos は外部Gitプロバイダと同期して動作する（独自Git履歴での独立運用ではない）。ブランチ操作・コミット・プッシュ・PR作成は可能。,Databricks Repos（Git フォルダ）は、GitHub/GitLab/Azure DevOps などの外部 Git プロバイダと連携する機能。ワークスペースUIからブランチ作成・切替、コミット、プッシュ、プルリク作成ができ、開発ワークフローをコードとして管理する。あくまで外部Gitと同期する仕組みで、独自の閉じたGitではない。
33,cicd,Automation Bundle の databricks.yml に定義する要素として、含まれないものはどれか。,"[""bundle（名前などのメタ情報）"",""targets（dev/prod などの環境）"",""resources（jobs, pipelines など）"",""variables（変数）"",""クラスターの物理ホスト名やIPアドレス""]",4,バンドルは bundle / targets / resources / variables などを宣言的に定義する。物理ホスト名やIPは扱わない（コンピュートは論理的に指定する）。,"databricks.yml の主な構成要素：bundle（名前などのメタ）、targets（dev/test/prod 環境）、resources（jobs, pipelines, experiments 等のワークスペース資産）、variables（変数）、artifacts（ビルド成果物）。コンピュートはクラスタ仕様として論理的に記述し、物理ホスト名やIPは扱わない。"
